game_id,season,home_goals,away_goals
2003020268,2003,5,1
2003020269,2003,3,3
2003020270,2003,5,4
2003020271,2003,3,0
2003020272,2003,3,2
2003020273,2003,3,2
2003020274,2003,6,1
2003020275,2003,3,1
2003020276,2003,3,0
2003020277,2003,2,1
2003020278,2003,3,2
2003020279,2003,4,3
2003020280,2003,3,2
2003020281,2003,2,1
2003020282,2003,3,6
2003020283,2003,5,0
2003020284,2003,3,1
2003020285,2003,0,5
2003020286,2003,3,4
2003020287,2003,3,2
2003020288,2003,2,3
2003020289,2003,2,1
2003020290,2003,3,4
2003020291,2003,2,1
2003020292,2003,2,1
2003020293,2003,2,1
2003020294,2003,2,5
2003020295,2003,0,2
2003020296,2003,2,1
2003020297,2003,3,5
2003020298,2003,3,1
2003020299,2003,1,0
2003020300,2003,6,2
2003020301,2003,0,0
2003020302,2003,2,1
2003020303,2003,2,1
2003020304,2003,1,4
2003020305,2003,5,2
2003020306,2003,2,3
2003020307,2003,0,2
2003020308,2003,3,3
2003020309,2003,2,5
2003020310,2003,3,6
2003020311,2003,4,3
2003020312,2003,0,4
2003020313,2003,5,2
2003020314,2003,0,2
2003020315,2003,1,1
2003020316,2003,3,3
2003020317,2003,7,1
2003020318,2003,4,2
2003020319,2003,1,3
2003020320,2003,3,3
2003020321,2003,3,2
2003020322,2003,1,3
2003020323,2003,2,3
2003020324,2003,5,6
2003020325,2003,6,4
2003020326,2003,1,2
2003020327,2003,4,2
2003020328,2003,1,2
2003020329,2003,4,3
2003020330,2003,3,5
2003020331,2003,1,4
2003020332,2003,2,2
2003020333,2003,6,0
2003020334,2003,4,3
2003020335,2003,2,0
2003020336,2003,1,4
2003020337,2003,3,1
2003020338,2003,1,2
2003020339,2003,1,1
2003020340,2003,1,5
2003020341,2003,4,3
2003020342,2003,2,1
2003020343,2003,3,5
2003020344,2003,1,2
2003020345,2003,4,1
2003020346,2003,4,4
2003020347,2003,1,2
2003020348,2003,1,1
2003020349,2003,3,3
2003020350,2003,2,4
2003020351,2003,1,2
2003020352,2003,1,1
2003020353,2003,4,1
2003020354,2003,4,3
2003020355,2003,1,4
2003020356,2003,2,1
2003020357,2003,5,4
2003020358,2003,3,2
2003020359,2003,1,3
2003020360,2003,4,1
2003020361,2003,3,1
2003020362,2003,5,2
2003020363,2003,1,2
2003020364,2003,4,6
2003020365,2003,0,4
2003020366,2003,7,2
2003020367,2003,2,3
2003020368,2003,0,1
2003020369,2003,0,6
2003020370,2003,2,3
2003020371,2003,2,4
2003020372,2003,1,4
2003020373,2003,2,4
2003020374,2003,3,0
2003020375,2003,4,4
2003020376,2003,1,4
2003020377,2003,3,0
2003020378,2003,2,2
2003020379,2003,3,2
2003020380,2003,1,1
2003020381,2003,6,2
2003020382,2003,2,1
2003020383,2003,4,1
2003020384,2003,1,1
2003020385,2003,1,3
2003020386,2003,5,2
2003020387,2003,3,1
2003020388,2003,1,2
2003020389,2003,5,2
2003020390,2003,3,4
2003020391,2003,5,1
2003020392,2003,4,3
2003020393,2003,1,1
2003020394,2003,7,3
2003020395,2003,2,1
2003020396,2003,2,3
2003020397,2003,2,2
2003020398,2003,6,1
2003020399,2003,4,0
2003020400,2003,2,2
2003020401,2003,2,3
2003020402,2003,3,2
2003020403,2003,4,1
2003020404,2003,5,2
2003020405,2003,2,3
2003020406,2003,2,1
2003020407,2003,2,3
2003020408,2003,4,3
2003020409,2003,1,2
2003020410,2003,1,1
2003020411,2003,1,0
2003020412,2003,4,3
2003020413,2003,1,1
2003020414,2003,2,7
2003020415,2003,2,1
2003020416,2003,3,2
2003020417,2003,6,5
2003020418,2003,3,2
2003020419,2003,1,4
2003020420,2003,0,1
2003020421,2003,4,3
2003020422,2003,1,0
2003020423,2003,1,1
2003020424,2003,2,2
2003020425,2003,2,3
2003020426,2003,3,3
2003020427,2003,6,3
2003020428,2003,4,2
2003020429,2003,1,3
2003020430,2003,1,0
2003020431,2003,3,3
2003020432,2003,3,1
2003020433,2003,2,3
2003020434,2003,4,0
2003020435,2003,0,2
2003020436,2003,1,5
2003020437,2003,5,3
2003020438,2003,2,5
2003020439,2003,2,1
2003020440,2003,2,2
2003020441,2003,3,2
2003020442,2003,1,1
2003020443,2003,2,0
2003020444,2003,1,1
2003020445,2003,2,3
2003020446,2003,2,1
2003020447,2003,4,1
2003020448,2003,2,5
2003020449,2003,5,4
2003020450,2003,2,3
2003020451,2003,3,0
2003020452,2003,1,1
2003020453,2003,2,1
2003020454,2003,0,5
2003020455,2003,2,1
2003020456,2003,1,2
2003020457,2003,4,2
2003020458,2003,2,2
2003020459,2003,3,2
2003020460,2003,3,1
2003020461,2003,2,3
2003020462,2003,0,5
2003020463,2003,4,5
2003020464,2003,2,1
